Date,Subway Residual,Buses Residual,LIRR Residual
2022-08-21,-36718.04274396459,-2148.9923135163262,-199.59583218535408
2022-08-22,214072.39915967593,75797.72992290813,19344.839723268728
2022-08-23,7612.489029876422,12457.177602148615,-603.2877390377107
2022-08-24,-87607.71819407586,-19210.028911416186,-2322.1200556895637
2022-08-25,-65009.77890141355,-22021.176689658547,-1860.391500461672
2022-08-26,-176557.4744830057,-65352.28538283007,-2575.5796749930596
2022-08-27,-1038.5124484905973,21102.999838706804,3714.903521128639
2022-08-28,-2648.103376789484,4955.228737185942,-1446.6858983709244
2022-08-29,110247.93672747025,48868.21578840213,12347.390683500038
2022-08-30,-34361.92956884811,-5449.931595934322,1289.2512112172844
2022-08-31,-54166.27811944857,-10823.166280872654,2618.3582435029966
2022-09-01,-490.6375974533148,36495.162382746814,5375.723065642087
2022-09-02,151769.6301226425,-48030.154498875374,10811.64424992053
2022-09-03,154478.0365362824,52073.295000385726,14626.034418210911
2022-09-04,331834.7122749761,101897.28465307411,21442.22191000791
2022-09-05,-722061.9089406584,-382159.66269271413,-51639.85840317255
2022-09-06,191892.70526790433,71257.80785876629,17319.42356805777
2022-09-07,146847.25189365214,47418.18257353897,5677.480969222117
2022-09-08,147206.01476647472,78315.20430055074,3607.656814443588
2022-09-09,49407.50820922712,71578.38586692023,126.34553152063745
2022-09-10,39097.46226183046,-3064.642793925712,-3219.8459432257805
2022-09-11,-164268.0257491935,-99309.15723359305,-6341.550980432221
2022-09-12,256559.86174952518,119605.46290407889,12250.462357714336
2022-09-13,7124.178789074067,880.1587053115945,-1509.8010092140175
2022-09-14,14567.033829757478,-4159.848976587877,1275.5199041559536
2022-09-15,-31957.05359962536,-27740.942797961878,-1371.9585918554512
2022-09-16,89499.39685000246,68592.35707419133,-530.3322655251541
2022-09-17,-38965.51214847062,-45530.70110323047,-3978.746105465194
2022-09-18,-66109.18389838142,-39111.98134801863,-1184.14334742527
2022-09-19,215859.2662096792,103481.28916883608,12967.386014243035
2022-09-20,50842.35883245058,-20534.15473843366,-2057.440758630517
2022-09-21,88291.95976345055,-36482.148285068106,2489.937363616511
2022-09-22,-106625.00873049488,-131320.0849017275,-7398.058313252113
2022-09-23,35801.39384432137,-78813.51492527826,1995.4370700595318
2022-09-24,34184.794360232074,-47742.8324155123,1420.5946842764097
2022-09-25,-2404.3604793325067,-7621.050080647692,-3316.610021883331
2022-09-26,-169417.9907999765,-81831.43744600867,695.4011215577484
2022-09-27,-305660.86552351667,-192860.88236284174,-5820.86142521273
2022-09-28,57959.45673379628,17754.438919791486,3622.152292625833
2022-09-29,168120.77280098246,2827.6553154340945,5879.242014893534
2022-09-30,-83173.23486372689,-59068.81190792029,-6570.3640790929785
2022-10-01,-237255.45181935374,-125836.49670828693,-22036.21154459362
2022-10-02,-255891.92935826397,-137684.23333541176,-15058.24650481387
2022-10-03,174644.50188889867,41604.38117797626,-1533.6462993921596
2022-10-04,-117402.43560781097,-90791.33943415224,-10986.83560411146
2022-10-05,-426100.86129161716,-228910.29657103645,-16877.879567562108
2022-10-06,-29405.221356966067,-5924.418204800459,-352.5794795838301
2022-10-07,27743.4782383102,7371.577169768512,10277.889048200275
2022-10-08,-8087.302999019157,-7718.665317671839,9117.579379809496
2022-10-09,292444.1360262139,91296.61489804904,14224.01175873325
2022-10-10,-389852.66177416407,-209796.6818239959,-10410.623146430647
2022-10-11,159293.01039552363,105141.9833745542,6651.922608114517
2022-10-12,60880.06656498276,44296.44566654018,-3373.4569593385677
2022-10-13,-102212.09858732857,-57901.59173475555,-6303.667860586342
2022-10-14,32193.245634053368,12738.55379358423,-3129.3176120925636
2022-10-15,-37063.75806416571,-13254.962486690609,-1828.7617282423016
2022-10-16,-117751.40428629238,-18488.52512148209,-6261.461198986741
2022-10-17,44757.73809925513,33579.47287737159,-1471.454370763502
2022-10-18,18103.895053818822,10298.059201617027,-2031.5001980247325
2022-10-19,8472.343179976568,-4263.2183163950685,412.6086085018178
2022-10-20,-30871.31355626788,19724.76964414236,-1394.8294556214532
2022-10-21,-11037.203959447797,7416.2095355044585,-1231.5698419866094
2022-10-22,16329.084166605957,-8617.961075223284,-1164.9685018903401
2022-10-23,-156251.0881072278,-42864.14629594935,-4972.600695670291
2022-10-24,27357.89346709149,18345.68098735879,-1616.0598818251747
2022-10-25,-8657.669354334474,2931.6778925238177,-2884.6234655168955
2022-10-26,49684.87694691727,40541.38963943557,186.09334792612935
2022-10-27,-27596.13280361658,-231.69653253024444,-5854.008679583349
2022-10-28,-60541.130199430045,-1319.9997655029874,-9520.048430748255
2022-10-29,70471.83184462506,39421.504687131615,-5626.425920918875
2022-10-30,-11325.85871260427,35178.179600070696,-9961.632383229531
2022-10-31,-6071.477372686379,9071.223575775744,-98.42709831739194
2022-11-01,1832.9736752519384,26689.073843581136,-1253.9478299233306
2022-11-02,-28658.903136379085,36135.079943508375,-5917.731102606078
2022-11-03,33525.02905465616,44488.91966282786,4943.571850469452
2022-11-04,57669.41555568809,51416.148953576805,-4098.315878214809
2022-11-05,-155334.0375820347,1906.6506697291043,-8396.793714503234
2022-11-06,112738.75749685755,-33573.470079175895,4493.027871297032
2022-11-07,79196.47673937026,75049.3618155024,-2005.0010210182518
2022-11-08,-229954.40376757178,-101056.68779807654,-3574.5286929403956
2022-11-09,-139775.9034729381,-54053.805136054754,-12567.779927689699
2022-11-10,141680.88311493397,75297.00607588491,8529.519097558252
2022-11-11,-236199.30372087518,-123402.25036194013,-5848.502194957953
2022-11-12,-16176.650138912257,-4915.927048630081,-5177.531094599573
2022-11-13,-69506.84492604434,2726.198044662131,-5304.255891747976
2022-11-14,-83768.6386958086,-19265.068370905006,-5765.76112616717
2022-11-15,-26830.690293151885,-1420.4168710510712,-4900.940912514605
2022-11-16,-182128.76784363156,-74193.53762820433,-16525.57574264481
2022-11-17,118833.18708005548,58765.74067954277,2803.3455988456262
2022-11-18,96095.97010657378,41601.933116812725,-220.08056839788333
2022-11-19,-141019.14884337643,-51482.21326561668,-7781.208617446391
2022-11-20,-137675.07263067132,-17993.607123195427,-11838.720566412143
2022-11-21,-20471.024616100825,-9692.854480256792,-4640.093680959282
2022-11-22,107738.44331057649,61123.41898290627,-8655.449648156035
2022-11-23,468698.5689246068,229324.16543286573,41599.721512279706
2022-11-24,-980259.2082013676,-385235.4697562043,-64884.57844221976
2022-11-25,-348449.6990193934,-91966.30403465731,-7148.489268442296
2022-11-26,72464.56871110015,103756.0477896966,907.1175627946213
2022-11-27,-175420.57681762287,-25668.616570939776,-6785.827715037536
2022-11-28,-77198.78519402351,15270.132056222996,-343.2680275849416
2022-11-29,-105701.71438507456,23067.081195594976,-7953.449763942801
2022-11-30,-251861.83858688502,-99973.09299830114,-20708.387883905525
2022-12-01,151323.56696847407,87703.2774651018,13839.602273995552
2022-12-02,95349.18374437653,59718.55628591427,-3784.8324923533946
2022-12-03,-151767.59321129508,-83032.94104760117,-10346.044545844052
2022-12-04,-93122.43779690005,-45263.56696211407,-10169.30632320189
2022-12-05,47302.51314079482,35295.413018847816,180.0027529783838
2022-12-06,-67171.4739120896,-43700.12204081542,-2223.984302147961
2022-12-07,-109516.5777485664,-45984.62016107584,-11239.8315251061
2022-12-08,208614.24085889477,93932.78780223476,6113.983622756059
2022-12-09,92936.82487733755,56939.50187964598,-7187.632324329286
2022-12-10,103496.05318475235,3761.424936382333,3927.977787431737
2022-12-11,-259360.0328615075,-82665.22231510235,-19083.185909637978
2022-12-12,71668.0991401677,62431.8608717639,8204.835963765683
2022-12-13,-23963.068760896567,405.97282510856166,-4516.979504031711
2022-12-14,-103961.23242569854,-9877.211801997386,-8984.07607231621
2022-12-15,30861.85824070638,-10003.869230669225,-2515.743775738374
2022-12-16,-150208.00599001814,-39798.18762000627,-14391.84594291693
2022-12-17,144696.87132813828,66039.04231412569,11014.650203820842
2022-12-18,-58417.78726723883,-15847.847296291264,-6886.127697150048
2022-12-19,195507.54469610238,92487.79071759223,12136.0196427872
2022-12-20,51071.556645720266,24430.527798042167,-3267.9030754647683
2022-12-21,63374.602401797194,19200.54733054852,-1122.88480211579
2022-12-22,-88577.99810871808,-2486.858005934395,-7330.450763856963
2022-12-23,-171481.75236851815,-83473.97610596544,-11362.003485500085
2022-12-24,-234216.60343772173,-91345.48174128891,-18176.436266742472
2022-12-25,372226.46646157606,154313.7700623984,21950.459677328792
2022-12-26,-251044.2914690515,-187423.08552275994,-32657.35683681385
2022-12-27,-32294.691794712096,-40761.97998942109,-2406.7037317059876
2022-12-28,7610.081003477331,-21768.9515506085,29.20032870559953
2022-12-29,-26502.533017328475,-4564.233285887167,-786.4877923267486
2022-12-30,26069.585260269232,-18056.902397947153,17294.916590878915
2022-12-31,33940.954936881084,33341.9073273174,-5619.3336276601185
2023-01-01,613761.2586325789,213343.53676906414,33728.531920673355
2023-01-02,-363067.44599803723,-169335.6033574245,-30559.301043061278
2023-01-03,-9696.00850316137,2810.507124518277,524.1956591077324
2023-01-04,101284.8090637275,49969.04690128192,5090.617319344543
2023-01-05,184079.78160071652,81784.21644170792,6410.330446966022
2023-01-06,266973.008066745,100086.58217203338,6177.479951821268
2023-01-07,242874.14229352912,110759.06045841356,12259.348384787183
2023-01-08,-257951.40524120862,-96458.45984799974,-21825.501449129923
2023-01-09,486214.55568337394,239438.57193738176,37154.17765494177
2023-01-10,139442.16493805684,49907.12102851225,9372.04120564193
2023-01-11,116074.16127209831,58792.81667655078,2706.2311471113353
2023-01-12,106276.11521477904,25663.227613145486,8549.35502980891
2023-01-13,146702.61298964452,66741.1208092845,4298.62171911911
2023-01-14,47160.40300056664,11101.387801962905,2643.9987344914116
2023-01-15,352388.5560097438,115704.46279334393,32464.161151421285
2023-01-16,-211573.36547951028,-89969.83323205891,-28550.63030153833
2023-01-17,241942.5182526093,154110.24998261174,10260.01145545693
2023-01-18,165834.5791684417,83057.82438667887,10304.97597983107
2023-01-19,137539.1682236637,19238.62479934981,5399.688731479546
2023-01-20,267891.6830986212,134573.63775593718,11952.314295630757
2023-01-21,169338.49372708006,76021.08977261465,7494.0120322051225
2023-01-22,-106672.66435302049,-41399.11120799929,-14166.14259252575
2023-01-23,183848.98994848924,55514.573366314406,14868.597588873032
2023-01-24,108550.38229307905,31460.063617229927,3760.762968501338
2023-01-25,28026.17334807664,-38031.39051998337,1440.6433195967693
2023-01-26,138972.55386740435,55973.07572253491,5009.68859180357
2023-01-27,100814.90363600897,31716.75574719743,6496.195679316064
2023-01-28,244572.29739653599,112570.64927813318,14375.437411411927
2023-01-29,118023.01491046557,103954.40253634867,3484.0793410475308
2023-01-30,158933.97006655764,100888.32591589075,17220.122689966578
2023-01-31,101134.83840235649,-6433.614383726614,3210.3025642489083
2023-02-01,206533.58656499395,112607.26449837815,6909.682305780851
2023-02-02,162420.22641589073,111058.78564965725,8777.02054398047
2023-02-03,-44942.97334559634,-31250.369152510073,-7239.075717416505
2023-02-04,-194099.82748398976,-105274.54747029254,-9718.636123244127
2023-02-05,-129346.68847095734,-32339.06646419433,-10841.801656337571
2023-02-06,142261.87501376448,69171.27617937513,13861.222518729337
2023-02-07,96230.05890051043,56882.22440956277,5217.945974110422
2023-02-08,56274.42114923149,31366.035808690125,2197.890216042986
2023-02-09,65858.1898931521,18433.830867590383,-686.5445735481335
2023-02-10,133154.94938570494,65999.1690365558,2179.4596092103457
2023-02-11,162905.3077191217,50131.69382262463,6719.66471178428
2023-02-12,-27260.8840353759,-16519.7582994157,-10815.185896468087
2023-02-13,689872.027804839,281166.5901409462,37047.0545438588
2023-02-14,93562.36229084758,77893.50053316657,3158.5307450468536
2023-02-15,92473.26575957192,73893.91076359549,3407.877965931053
2023-02-16,33981.54746978404,37002.06747685559,-90.46898320154287
2023-02-17,9144.464556608349,37619.323943911586,5952.146038168517
2023-02-18,142949.8790186597,71597.7912513651,4944.90197564449
2023-02-19,545324.4515704983,174450.95176192373,43315.59497078863
2023-02-20,-580464.2957868888,-246500.66276989318,-54595.70826392493
2023-02-21,115210.81171020959,41658.4547671387,6848.191474144289
2023-02-22,31823.211671145167,-779.1805399891455,4342.923856085341
2023-02-23,52462.75567645999,10028.729893290438,-495.6861023020174
2023-02-24,-26372.35390223516,-23661.677327188663,4306.044258537033
2023-02-25,64935.841489204206,70707.75364764058,4563.797107329156
2023-02-26,-103111.46883386187,-3548.1934477433097,-8835.447511252249
2023-02-27,93637.55936141033,48375.12936814828,7023.554629489867
2023-02-28,-82937.6696667485,-24383.62871897919,-9035.126553722657
2023-03-01,34506.74789068522,31806.068416203838,-5934.710780034366
2023-03-02,33353.0862807692,24739.46155800321,11114.082996685524
2023-03-03,117441.99953120016,71665.21890161117,-51.86457191541558
2023-03-04,-34454.94377925573,16284.929061200004,4018.724381728476
2023-03-05,-67455.6868120199,2526.257062599063,-4052.042077602149
2023-03-06,149886.61528709205,103741.24984552269,9992.29371645063
2023-03-07,120055.97914746124,73717.9755874842,7316.496013635129
2023-03-08,61810.735156165436,29965.230974376667,4451.698379632697
2023-03-09,40351.85342509998,51049.5837848254,-997.8763765273034
2023-03-10,72427.48958653398,28162.092674343614,-1664.5260506839259
2023-03-11,46107.13112425478,-5128.473178012297,-8217.97585868946
2023-03-12,10185.114498876035,38933.739709359594,-2696.7651301962032
2023-03-13,9866.836512945127,-1199.738936951384,756.9665771263535
2023-03-14,-98317.06979108742,-65965.3967666754,-10857.148599462438
2023-03-15,44483.991400568746,7197.3968932169955,-2577.6058198286337
2023-03-16,112808.95241407258,43855.093846664764,2315.516246243875
2023-03-17,48955.01294828439,20398.494437064044,-780.8445431421569
2023-03-18,102817.57323989877,80057.31341129518,3401.340668306948
2023-03-19,46019.16373370588,-20008.52739561652,-1956.193908653484
2023-03-20,56526.00597794773,38283.11370342015,1838.7734071420273
2023-03-21,85430.14082433749,40325.203995298594,4613.298855143017
2023-03-22,38957.05339020025,32752.20099987765,264.83145823690575
2023-03-23,37181.151748297736,25701.206766241696,-476.6118862834701
2023-03-24,250982.82816356467,137715.6462106835,9910.301904286287
2023-03-25,-79104.4404665879,-42687.95175905479,-1732.8186341059336
2023-03-26,28096.015774507076,36654.408072399674,-1522.865262038773
2023-03-27,2383.901131419465,16489.045799190644,2562.659960416582
2023-03-28,19683.06013951404,38783.70226058201,439.8132180632965
2023-03-29,78399.41195576405,97138.58877964341,522.998435240268
2023-03-30,178689.49198797578,108969.47413354018,-7554.569415800157
2023-03-31,23945.750772944186,61773.9755577906,-9510.380392805295
2023-04-01,-6545.882778560277,18459.275591375772,-13509.948671006976
2023-04-02,136057.2654649904,71701.38848164002,15.744531427684706
2023-04-03,189945.55045654718,101672.4084575749,-814.4251168942719
2023-04-04,102142.34192028549,89732.76997860824,-1156.0371758496622
2023-04-05,-71500.08918056032,-34027.47973911464,-787.7660240778641
2023-04-06,-296238.8340201215,-103682.56652806234,-5052.701749518485
2023-04-07,-250400.9892683872,-126912.12280553859,-3694.2125165036123
2023-04-08,49297.32186635584,11501.850063515361,8611.233317154343
2023-04-09,-30754.822382767685,-17523.489224735415,10201.226369162527
2023-04-10,-256357.4618929564,-134223.59431337938,-2493.074630431569
2023-04-11,-149278.7763367165,-91754.87234165752,669.0817120212887
2023-04-12,-136262.81887500687,-112381.71491210326,-2280.3996304186003
2023-04-13,-84236.03232385265,-81723.89328545681,-523.3157558709208
2023-04-14,-12051.788233850617,-29566.92856930592,1290.6391145253438
2023-04-15,89442.19749838719,83112.42651125346,409.28387439387734
2023-04-16,-53956.97561964346,21863.468792992644,-7896.814379212068
2023-04-17,-33882.086573189124,13454.293179063126,-2842.490835544304
